Date,XBTUSD,SPX Index,MXEU Index,NKY Index,SHCOMP Index,SENSEX Index,MCX Index,CO1 Comdty,XAU Index
12/07/2022,19443.28,3818.8,140.90563,192.68847,487.95774,678.29679,22458.14286,99.49,105.66
11/07/2022,20409.54,3854.43,140.24748,195.14047,493.16624,684.36393,22385.86703,107.1,107.6
10/07/2022,20972.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
09/07/2022,21672.98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08/07/2022,21846.53,3899.38,142.36291,194.73592,501.31118,687.18793,22731.47461,107.02,108.97
07/07/2022,21610.58,3902.62,141.45387,194.72604,502.089,684.66017,22665.73642,104.65,109.74
06/07/2022,20380,3845.08,139.13612,192.32155,500.20125,679.99178,22144.16623,100.69,107.79
05/07/2022,20441.63,3831.39,137.87557,194.66237,506.56642,670.93909,21839.17564,102.77,108.15
04/07/2022,19755.85,#N/A,143.29196,192.73257,508.22717,674.25899,22517.92175,113.5,#N/A
03/07/2022,19420.48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02/07/2022,19238.99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01/07/2022,19406.69,3825.33,142.12918,191.71807,505.50429,670.34006,22450.10611,111.63,114.1
30/06/2022,18731.3,3785.38,143.23384,194.53851,507.30912,671.62742,22730.53801,114.81,111.12
29/06/2022,20197.75,3818.83,144.91245,196.24131,501.65172,671.62109,23078.82124,116.26,115.79
28/06/2022,20247.7,3821.55,146.79648,198.6011,508.22289,673.18511,23596.93864,117.98,117.05
27/06/2022,20898.65,3900.11,147.44552,198.51707,504.974,677.65574,23744.92145,115.09,120.25
26/06/2022,21392.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
25/06/2022,21214.51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24/06/2022,21183.82,3911.74,145.97554,195.99001,500.71705,673.79867,23462.8798,113.12,119.34
23/06/2022,20795.38,3795.73,141.66605,194.19196,495.6482,668.78806,22857.77594,110.05,115.8
22/06/2022,19857.05,3759.89,143.73931,191.93739,487.47475,662.42452,23170.08133,111.74,120.28
21/06/2022,20838.45,3764.79,144.17938,192.43574,494.31482,672.45095,23254.27416,114.65,122.86
20/06/2022,20427.23,#N/A,143.54393,190.81312,495.39484,662.11516,23295.85883,114.13,#N/A
19/06/2022,20607.54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
